Sender,Time [ms],Torque [Nm],Voltage [V],Current [A],Brake [%]
[MASTER],37277,-0.0075,23.9132,0.0588,10.00
[MASTER],37278,-0.0091,23.9070,0.0706,10.00
[MASTER],37280,-0.0075,23.9009,0.0943,10.00
[MASTER],37282,-0.0091,23.8885,0.1180,10.00
[MASTER],37284,-0.0059,23.8823,0.1417,10.00
[MASTER],37286,-0.0043,23.8885,0.1654,10.00
[MASTER],37287,-0.0027,23.8885,0.1772,10.00
[MASTER],37289,-0.0043,23.8885,0.1654,10.00
[MASTER],37291,-0.0043,23.8885,0.1654,10.00
[MASTER],37293,-0.0012,23.8885,0.1772,10.00
[MASTER],37295,-0.0012,23.8885,0.1891,10.00
[MASTER],37296,-0.0012,23.8823,0.1891,10.00
[MASTER],37298,-0.0012,23.8885,0.1891,10.00
[MASTER],37300,0.0036,23.8823,0.1772,10.00
[MASTER],37302,0.0020,23.8823,0.1772,10.00
[MASTER],37304,-0.0027,23.8761,0.1654,10.00
[MASTER],37305,-0.0027,23.8699,0.1535,10.00
[MASTER],37307,0.0004,23.8761,0.1772,10.00
[MASTER],37309,-0.0027,23.8885,0.1772,10.00
[MASTER],37311,0.0004,23.8823,0.1772,10.00
[MASTER],37313,0.0052,23.8947,0.1891,10.00
[MASTER],37314,0.0036,23.8947,0.1772,10.00
[MASTER],37316,0.0067,23.8947,0.1772,10.00
[MASTER],37318,0.0067,23.8947,0.1654,10.00
[MASTER],37320,0.0067,23.8947,0.1772,10.00
[MASTER],37322,0.0083,23.8823,0.1772,10.00
[MASTER],37323,0.0052,23.8823,0.1772,10.00
[MASTER],37325,0.0083,23.8823,0.1772,10.00
[MASTER],37327,0.0083,23.8823,0.1772,10.00
[MASTER],37329,0.0083,23.8823,0.1654,10.00
[MASTER],37331,0.0083,23.8885,0.1654,10.00
[MASTER],37332,0.0083,23.8823,0.1654,10.00
[MASTER],37334,0.0083,23.8761,0.1654,10.00
[MASTER],37336,0.0099,23.8761,0.1772,10.00
[MASTER],37338,0.0115,23.8637,0.1772,10.00
[MASTER],37340,0.0131,23.8637,0.2009,10.00
[MASTER],37341,0.0131,23.8761,0.2009,10.00
[MASTER],37343,0.0115,23.8761,0.2009,10.00
[MASTER],37345,0.0115,23.8699,0.1891,10.00
[MASTER],37347,0.0115,23.8823,0.2009,10.00
[MASTER],37348,0.0099,23.8823,0.2009,10.00
[MASTER],37350,0.0083,23.8885,0.1891,10.00
[MASTER],37352,0.0067,23.8885,0.1891,10.00
[MASTER],37354,0.0067,23.8947,0.1891,10.00
[MASTER],37356,0.0083,23.8947,0.2009,10.00
